filename,x,y,mean_brightness,median_brightness,std_brightness,min_brightness,max_brightness,valid_ratio,valid_mean,valid_median,valid_std,is_valid,region_type
0000_0992_1002.png,992,1002,78.42024182291667,30.0,77.48612031433473,5,250,0.4966050390625,139.73852756530428,186.0,67.4104842666702,True,normal
0000_0992_1003.png,992,1003,79.570648828125,30.0,78.79574042126086,4,236,0.4988604296875,141.3979278710768,189.0,68.85162427184537,True,normal
0000_0992_1004.png,992,1004,78.88175994791666,30.0,78.06607389799603,4,244,0.4997814453125,140.01984041722403,185.0,68.13730620258144,True,normal
0000_0992_1005.png,992,1005,44.677726328125,15.0,60.16345015259472,2,245,0.34286671875,104.93736173753133,61.0,70.63983034816252,True,half_bg
0000_0993_0994.png,993,994,60.42228140625,28.0,70.20889501755313,3,255,0.43882897135416665,118.23927388425605,72.0,72.11470773758211,True,half_bg
0000_0993_0995.png,993,995,81.87179747395834,31.0,81.32543703529728,5,254,0.5020102213541666,144.81185683548057,194.0,71.66474936550325,True,normal
0000_0993_0996.png,993,996,82.03087635416667,31.0,82.06989397832979,4,235,0.5009733203125,145.6513300891798,198.0,72.46340528439374,True,normal
0000_0993_0997.png,993,997,79.11830720052083,30.0,79.32566628572695,5,230,0.49149578125,142.51918421010524,191.0,69.39640336043662,True,normal
0000_0993_0998.png,993,998,78.95435546875,29.0,79.69567823925114,5,230,0.4863998958333333,143.59087692333063,192.0,69.59710756397975,True,normal
0000_0993_0999.png,993,999,78.5162173828125,29.0,78.4579468090472,5,236,0.4882438671875,142.2559843448281,189.0,67.77286791270315,True,normal
0000_0993_1000.png,993,1000,77.76285029947917,29.0,77.75086335587953,5,248,0.48671071614583333,141.21766218024518,187.0,67.08258305750087,True,normal
0000_0993_1001.png,993,1001,79.0675801953125,30.0,78.73413496036052,5,249,0.49211640625,142.28987877614068,190.0,68.19560502882112,True,normal
0000_0993_1002.png,993,1002,78.24564959635417,30.0,77.59379565569397,4,243,0.4936206510416667,140.2109674776087,187.0,67.36104076829957,True,normal
0000_0993_1003.png,993,1003,79.54730852864583,30.0,78.96828360699895,5,243,0.497624453125,141.7009019780908,190.0,69.02322014664608,True,normal
0000_0993_1004.png,993,1004,78.8268348828125,30.0,78.14987180209157,5,236,0.4959190625,140.74969971053324,188.0,68.03431744524381,True,normal
0000_0993_1005.png,993,1005,56.3788040234375,24.0,68.67242016847582,2,242,0.41499061197916665,116.02472850242377,73.0,72.27506545695083,True,half_bg
0000_0994_0994.png,994,994,72.90820895833333,34.0,75.17342146960141,3,245,0.5241781770833334,123.82340665015205,83.0,72.5177229782824,True,half_bg
0000_0994_0995.png,994,995,82.93452610677083,31.0,82.71439007024549,4,242,0.5050953515625,145.95812362470855,198.0,73.73629708230389,True,normal
0000_0994_0996.png,994,996,81.79321450520834,31.0,81.46453898379643,5,236,0.500838359375,145.20142089360272,196.0,71.51843246903924,True,normal
0000_0994_0997.png,994,997,78.18354569010417,29.0,78.6512549609361,4,232,0.4866575130208333,141.79670334124702,190.0,68.88678140768785,True,normal
0000_0994_0998.png,994,998,78.444088515625,29.0,79.19931492594654,5,233,0.48440721354166666,143.20711899429054,191.0,68.8191194115453,True,normal
0000_0994_0999.png,994,999,77.6189471875,29.0,77.72011204277564,4,239,0.4842408984375,141.42198876511537,188.0,67.12562660336418,True,normal
0000_0994_1000.png,994,1000,76.61344807291667,29.0,76.49513054255316,4,248,0.48360901041666665,139.60152541766857,183.0,65.88753988982249,True,normal
0000_0994_1001.png,994,1001,78.897166015625,30.0,78.1725708275034,5,252,0.49295278645833335,141.77068029197142,187.0,67.28277702691646,True,normal
0000_0994_1002.png,994,1002,77.34160575520833,29.0,77.30047320166102,5,252,0.48689369791666665,140.04785289054476,186.0,67.30856294189363,True,normal
